"","index","Job Title","Salary Estimate","Rating","Company Name","City","State","Metro Area","Industry","Sector","Lower Salary","Upper Salary","Avg Salary(K)","cost.of.living"
"517",662,"Lead Data Analyst","$32K-$62K (Glassdoor est.)",3.9,"Signpost
3.9","New York","NY","New York","Internet","Information Technology",32,62,47,128
"518",663,"Analytics Manager - Data Mart","$42K-$86K (Glassdoor est.)",3.5,"Central California Alliance for Health
3.5","Scotts Valley","CA","Santa Cruz","Health Care Services & Hospitals","Health Care",42,86,64,163.9
"519",664,"Data Science Engineer - Mobile","$116K-$208K (Glassdoor est.)",4,"Adobe
4.0","San Jose","CA","San Jose","Computer Hardware & Software","Information Technology",116,208,162,173.5
"520",665,"Senior Data Scientist - R&D Oncology","$102K-$172K (Glassdoor est.)",3.9,"AstraZeneca
3.9","New York","NY","New York","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",102,172,137,128
"521",666,"Sr. Data Engineer - Contract-to-Hire (Java)","$69K-$127K (Glassdoor est.)",3,"Pilot Flying J Travel Centers LLC
3.0","Knoxville","TN","Knoxville","Gas Stations","Retail",69,127,98,91.6
"522",668,"Data Scientist","$86K-$144K (Glassdoor est.)",3.7,"Swiss Re
3.7","Armonk","NY","Kingston","Insurance Agencies & Brokerages","Insurance",86,144,115,106.1
"523",669,"Senior Data Scientist","$102K-$165K (Glassdoor est.)",3.5,"Sartorius
3.5","Arvada","CO","Denver","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",102,165,133.5,112.1
"524",670,"Data Engineer","$74K-$124K (Glassdoor est.)",4,"Pinnacol Assurance
4.0","Denver","CO","Denver","Insurance Carriers","Insurance",74,124,99,112.1
"525",671,"Food Scientist - Developer","$40K-$68K (Glassdoor est.)",3.3,"Palermo's Pizza
3.3","Milwaukee","WI","Milwaukee","Food & Beverage Manufacturing","Manufacturing",40,68,54,93.8
"526",672,"Senior Data Engineer","$76K-$142K (Glassdoor est.)",3.2,"Equian LLC
3.2","Franklin","TN","Nashville","Health Care Services & Hospitals","Health Care",76,142,109,100.1
"527",673,"Data Engineer","$76K-$142K (Glassdoor est.)",3.4,"MetroStar Systems
3.4","Rockville","MD","Washington","IT Services","Information Technology",76,142,109,120.1
"528",674,"Senior Data Scientist","$108K-$171K (Glassdoor est.)",4.4,"MathWorks
4.4","Natick","MA","Boston","Computer Hardware & Software","Information Technology",108,171,139.5,132.6
"529",675,"Director II, Data Science - GRM Actuarial","$202K-$306K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Chicago","IL","Chicago","Insurance Carriers","Insurance",202,306,254,100.1
"530",676,"Machine Learning Engineer","$91K-$159K (Glassdoor est.)",3.2,"Information Builders
3.2","New York","NY","New York","Computer Hardware & Software","Information Technology",91,159,125,128
"531",678,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","$80K-$133K (Glassdoor est.)",3.8,"Novartis
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",80,133,106.5,132.6
"532",679,"Scientist, Molecular/Cellular Biologist","$49K-$97K (Glassdoor est.)",2.9,"Audentes Therapeutics
2.9","South San Francisco","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,97,73,178.6
"533",681,"Staff Scientist-Downstream Process Development","$49K-$113K (Glassdoor est.)",2.7,"Advanced BioScience Laboratories
2.7","Rockville","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,113,81,120.1
"534",682,"MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB","$21-$34 Per Hour(Glassdoor est.)",3.6,"Beebe Healthcare
3.6","Millville","DE","Salisbury","Health Care Services & Hospitals","Health Care",43,70,56.5,103.2
"535",683,"Scientist - Analytical Services","$65K-$134K (Glassdoor est.)",3.1,"Reynolds American
3.1","Winston-Salem","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",65,134,99.5,91.2
"536",685,"Associate Data Analyst- Graduate Development Program","$32K-$59K (Glassdoor est.)",3.3,"National Interstate
3.3","Richfield","OH","Cleveland, OH","Insurance Carriers","Insurance",32,59,45.5,90
"537",687,"IT Associate Data Analyst","$39K-$69K (Glassdoor est.)",3.7,"The Hanover Insurance Group
3.7","Worcester","MA","Worcester","Insurance Carriers","Insurance",39,69,54,113.2
"538",688,"Sr. Data Engineer","$87K-$158K (Glassdoor est.)",4.5,"Moser Consulting
4.5","Indianapolis","IN","Indianapolis","Consulting","Business Services",87,158,122.5,90.2
"539",689,"Clinical Data Analyst","$27K-$48K (Glassdoor est.)",3,"Greenway Health
3.0","Tampa","FL","Tampa","Enterprise Software & Network Solutions","Information Technology",27,48,37.5,101.4
"540",690,"Business Data Analyst","$36K-$71K (Glassdoor est.)",3.8,"Fareportal
3.8","New York","NY","New York","Travel Agencies","Travel & Tourism",36,71,53.5,128
"541",691,"Senior Insurance Data Scientist","$107K-$173K (Glassdoor est.)",3.9,"TransUnion
3.9","Chicago","IL","Chicago","Financial Analytics & Research","Finance",107,173,140,100.1
"542",692,"Senior Data Science Systems Engineer","$56K-$99K (Glassdoor est.)",3.2,"MITRE
3.2","Hampton","VA","Virginia Beach","Federal Agencies","Government",56,99,77.5,99
"543",694,"ENVIRONMENTAL ENGINEER/SCIENTIST","Employer Provided Salary:$25-$28 Per Hour",3.3,"Mcphail Associates
3.3","Cambridge","MA","Boston","Construction","Construction, Repair & Maintenance",52,58,55,132.6
"544",695,"Senior Scientist - Regulatory Submissions","$80K-$155K (Glassdoor est.)",3.1,"Reynolds American
3.1","Winston-Salem","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",80,155,117.5,91.2
"545",696,"Scientist - Biomarker and Flow Cytometry","$43K-$98K (Glassdoor est.)",2.4,"Crown Bioscience
2.4","San Diego","CA","San Diego","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",43,98,70.5,136.2
"546",697,"Associate Scientist, LC/MS Biologics","$44K-$96K (Glassdoor est.)",2.9,"Q2 Solutions
2.9","Ithaca","NY","Ithaca","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",44,96,70,101.7
"547",698,"Revenue Analytics Manager","$45K-$78K (Glassdoor est.)",4.8,"HOVER
4.8","San Francisco","CA","San Francisco","Computer Hardware & Software","Information Technology",45,78,61.5,178.6
"548",699,"Sr. Scientist Method Development","$50K-$110K (Glassdoor est.)",2.9,"Q2 Solutions
2.9","Marietta","GA","Atlanta","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",50,110,80,100.3
"549",700,"Data Scientist","$60K-$99K (Glassdoor est.)",4.7,"Oversight Systems
4.7","Atlanta","GA","Atlanta","Computer Hardware & Software","Information Technology",60,99,79.5,100.3
"550",701,"Data Scientist - Sales","$130K-$206K (Glassdoor est.)",4.7,"Confluent
4.7","Mountain View","CA","San Jose","Computer Hardware & Software","Information Technology",130,206,168,173.5
"551",702,"IT - Data Engineer II","$61K-$119K (Glassdoor est.)",3.4,"Arbella Insurance
3.4","Quincy","MA","Boston","Insurance Carriers","Insurance",61,119,90,132.6
"552",703,"Research Scientist, Immunology - Cancer Biology","Employer Provided Salary:$100K-$140K",-1,"Kronos Bio","Cambridge","MA","Boston","-1","-1",100,140,120,132.6
"553",704,"Senior Data Analyst","$99K-$178K (Glassdoor est.)",3.9,"Life360
3.9","San Francisco","CA","San Francisco","Computer Hardware & Software","Information Technology",99,178,138.5,178.6
"554",705,"Principal, Data Science - Advanced Analytics","$86K-$137K (Glassdoor est.)",3.6,"IQVIA
3.6","Plymouth Meeting","PA","Philadelphia","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,137,111.5,103.4
"555",706,"Data Science Project Manager","$37K-$100K (Glassdoor est.)",3.6,"MassMutual
3.6","Boston","MA","Boston","Insurance Carriers","Insurance",37,100,68.5,132.6
"556",707,"Sr Scientist, Immuno-Oncology - Oncology","$58K-$111K (Glassdoor est.)",3.9,"GSK
3.9","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",58,111,84.5,132.6
"557",708,"Senior Data Engineer","$72K-$133K (Glassdoor est.)",4.4,"Eventbrite
4.4","Nashville","TN","Nashville","Internet","Information Technology",72,133,102.5,100.1
"558",709,"Project Scientist - Auton Lab, Robotics Institute","$56K-$91K (Glassdoor est.)",2.6,"Software Engineering Institute
2.6","Pittsburgh","PA","Pittsburgh","Colleges & Universities","Education",56,91,73.5,93.1
"559",711,"Research Scientist – Security and Privacy","$61K-$126K (Glassdoor est.)",3.6,"Riverside Research Institute
3.6","Beavercreek","OH","Dayton","Federal Agencies","Government",61,126,93.5,88.4
"560",712,"Data Science Manager","$95K-$160K (Glassdoor est.)",3.2,"Numeric, LLC
3.2","Allentown","PA","Allentown","Staffing & Outsourcing","Business Services",95,160,127.5,98.9
"561",714,"Data Analyst 2 (Missionary Department)","$53K-$91K (Glassdoor est.)",4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Salt Lake City","UT","Salt Lake City","Religious Organizations","Non-Profit",53,91,72,105.9
