"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
680,869,"Senior Data Scientist","$97K-$160K (Glassdoor est.)","Chicago","Maven Wave Partners","4.4","IL","Chicago","Consulting","Business Services",97,160,128.5,100.1,"Midwest"
681,870,"Senior Research Scientist-Machine Learning","$81K-$167K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",81,167,124,93.1,"Northeast"
682,871,"Principal Data Scientist","$150K-$238K (Glassdoor est.)","San Francisco","The Climate Corporation","3.2","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",150,238,194,178.6,"California"
683,875,"Clinical Laboratory Scientist","$24-$39 Per Hour(Glassdoor est.)","Vail","Vail Health","3.7","CO","Glenwood Springs","Health Care Services & Hospitals","Health Care",49,81,65,127.8,"West"
684,877,"Data Analyst 1, full-time contract worker for up to 12 months","$35K-$65K (Glassdoor est.)","Salt Lake City","The Church of Jesus Christ of Latter-day Saints","4.2","UT","Salt Lake City","Religious Organizations","Non-Profit",35,65,50,105.9,"West"
685,878,"Data Scientist","$77K-$132K (Glassdoor est.)","New York","Crossix Solutions","3.5","NY","New York","Advertising & Marketing","Business Services",77,132,104.5,128,"New York"
686,879,"Data Scientist","$51K-$88K (Glassdoor est.)","Phoenix","Solugenix Corporation","4.3","AZ","Phoenix","IT Services","Information Technology",51,88,69.5,104.3,"West"
687,880,"Data Scientist","$101K-$141K (Glassdoor est.)","Irvine","West Coast University","2.6","CA","Los Angeles","Colleges & Universities","Education",101,141,121,140.6,"California"
688,881,"Data Engineer - Consultant (Charlotte Based)","$59K-$112K (Glassdoor est.)","Charlotte","Clarity Insights","4.2","NC","Charlotte","IT Services","Information Technology",59,112,85.5,97.9,"South"
689,883,"Data Engineer","$79K-$147K (Glassdoor est.)","Aliso Viejo","NCSOFT","3.1","CA","Los Angeles","Video Games","Media",79,147,113,140.6,"California"
690,884,"Data Scientist (Warehouse Automation)","$79K-$127K (Glassdoor est.)","San Francisco","SoftBank Robotics","3.8","CA","San Francisco","Consumer Products Manufacturing","Manufacturing",79,127,103,178.6,"California"
691,886,"Scientist, Immuno-Oncology","$62K-$119K (Glassdoor est.)","Cambridge","GSK","3.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",62,119,90.5,132.6,"Massachusetts"
692,887,"Senior Data Scientist","$119K-$187K (Glassdoor est.)","Los Angeles","Factual","4.3","CA","Los Angeles","Computer Hardware & Software","Information Technology",119,187,153,140.6,"California"
693,892,"Jr. Data Scientist","$81K-$132K (Glassdoor est.)","McLean","MITRE","3.2","VA","Washington","Federal Agencies","Government",81,132,106.5,120.1,"South"
694,893,"Senior Data Scientist","Employer Provided Salary:$120K-$140K","Ann Arbor","SkySync","5.0","MI","Ann Arbor","Computer Hardware & Software","Information Technology",120,140,130,99.3,"Midwest"
695,895,"Products Data Analyst II","$90K-$157K (Glassdoor est.)","Dublin","TriNet","3.3","CA","San Jose","Consulting","Business Services",90,157,123.5,173.5,"California"
696,896,"Data Architect / Data Modeler","$63K-$110K (Glassdoor est.)","New York","Medidata Solutions","4.3","NY","New York","Enterprise Software & Network Solutions","Information Technology",63,110,86.5,128,"New York"
697,897,"Analytics Manager - Data Mart","$42K-$86K (Glassdoor est.)","Scotts Valley","Central California Alliance for Health","3.5","CA","Santa Cruz","Health Care Services & Hospitals","Health Care",42,86,64,163.9,"California"
698,898,"Lead Data Analyst","$32K-$62K (Glassdoor est.)","New York","Signpost","3.9","NY","New York","Internet","Information Technology",32,62,47,128,"New York"
699,899,"Data Science Engineer - Mobile","$116K-$208K (Glassdoor est.)","San Jose","Adobe","4.0","CA","San Jose","Computer Hardware & Software","Information Technology",116,208,162,173.5,"California"
700,900,"Senior Data Scientist Oncology","$107K-$173K (Glassdoor est.)","Gaithersburg","AstraZeneca","3.9","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",107,173,140,120.1,"South"
701,901,"Data Scientist","$65K-$113K (Glassdoor est.)","Olympia","DatamanUSA, LLC","3.4","WA","Olympia","IT Services","Information Technology",65,113,89,110.9,"West"
702,902,"Sr. Data Engineer - Contract-to-Hire (Java)","$69K-$127K (Glassdoor est.)","Knoxville","Pilot Flying J Travel Centers LLC","3.0","TN","Knoxville","Gas Stations","Retail",69,127,98,91.6,"South"
703,904,"Senior Data Scientist - R&D Oncology","$102K-$172K (Glassdoor est.)","New York","AstraZeneca","3.9","NY","New York","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",102,172,137,128,"New York"
704,907,"Data Engineer","$74K-$124K (Glassdoor est.)","Denver","Pinnacol Assurance","4.0","CO","Denver","Insurance Carriers","Insurance",74,124,99,112.1,"West"
705,909,"Food Scientist - Developer","$40K-$68K (Glassdoor est.)","Milwaukee","Palermo's Pizza","3.3","WI","Milwaukee","Food & Beverage Manufacturing","Manufacturing",40,68,54,93.8,"Midwest"
706,910,"Senior Data Engineer","$76K-$142K (Glassdoor est.)","Franklin","Equian LLC","3.2","TN","Nashville","Health Care Services & Hospitals","Health Care",76,142,109,100.1,"South"
707,911,"Data Engineer","$76K-$142K (Glassdoor est.)","Rockville","MetroStar Systems","3.4","MD","Washington","IT Services","Information Technology",76,142,109,120.1,"South"
708,912,"Senior Data Scientist","$108K-$171K (Glassdoor est.)","Natick","MathWorks","4.4","MA","Boston","Computer Hardware & Software","Information Technology",108,171,139.5,132.6,"Massachusetts"
709,913,"Director II, Data Science - GRM Actuarial","$202K-$306K (Glassdoor est.)","Chicago","Liberty Mutual Insurance","3.3","IL","Chicago","Insurance Carriers","Insurance",202,306,254,100.1,"Midwest"
710,914,"Machine Learning Engineer","$91K-$159K (Glassdoor est.)","New York","Information Builders","3.2","NY","New York","Computer Hardware & Software","Information Technology",91,159,125,128,"New York"
711,916,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","$80K-$133K (Glassdoor est.)","Cambridge","Novartis","3.8","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",80,133,106.5,132.6,"Massachusetts"
712,919,"MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB","$21-$34 Per Hour(Glassdoor est.)","Millville","Beebe Healthcare","3.6","DE","Salisbury","Health Care Services & Hospitals","Health Care",43,70,56.5,103.2,"South"
713,920,"Scientist, Molecular/Cellular Biologist","$49K-$97K (Glassdoor est.)","South San Francisco","Audentes Therapeutics","2.9","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,97,73,178.6,"California"
714,921,"Staff Scientist-Downstream Process Development","$49K-$113K (Glassdoor est.)","Rockville","Advanced BioScience Laboratories","2.7","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,113,81,120.1,"South"
715,924,"Data Scientist","$96K-$161K (Glassdoor est.)","Philadelphia","Numeric, LLC","3.2","PA","Philadelphia","Staffing & Outsourcing","Business Services",96,161,128.5,103.4,"Northeast"
716,926,"Scientist - Analytical Services","$65K-$134K (Glassdoor est.)","Winston-Salem","Reynolds American","3.1","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",65,134,99.5,91.2,"South"
717,928,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery","$59K-$125K (Glassdoor est.)","South San Francisco","23andMe","4.0","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",59,125,92,178.6,"California"
718,929,"Associate Data Analyst- Graduate Development Program","$32K-$59K (Glassdoor est.)","Richfield","National Interstate","3.3","OH","Cleveland, OH","Insurance Carriers","Insurance",32,59,45.5,90,"Midwest"
719,930,"Sr. Data Engineer","$87K-$158K (Glassdoor est.)","Indianapolis","Moser Consulting","4.5","IN","Indianapolis","Consulting","Business Services",87,158,122.5,90.2,"Midwest"
720,931,"Clinical Data Analyst","$27K-$48K (Glassdoor est.)","Tampa","Greenway Health","3.0","FL","Tampa","Enterprise Software & Network Solutions","Information Technology",27,48,37.5,101.4,"South"
721,932,"IT Associate Data Analyst","$39K-$69K (Glassdoor est.)","Worcester","The Hanover Insurance Group","3.7","MA","Worcester","Insurance Carriers","Insurance",39,69,54,113.2,"Massachusetts"
722,933,"Business Data Analyst","$36K-$71K (Glassdoor est.)","New York","Fareportal","3.8","NY","New York","Travel Agencies","Travel & Tourism",36,71,53.5,128,"New York"
723,934,"Senior Insurance Data Scientist","$107K-$173K (Glassdoor est.)","Chicago","TransUnion","3.9","IL","Chicago","Financial Analytics & Research","Finance",107,173,140,100.1,"Midwest"
724,935,"Senior Data Science Systems Engineer","$56K-$99K (Glassdoor est.)","Hampton","MITRE","3.2","VA","Virginia Beach","Federal Agencies","Government",56,99,77.5,99,"South"
725,936,"ENVIRONMENTAL ENGINEER/SCIENTIST","Employer Provided Salary:$25-$28 Per Hour","Cambridge","Mcphail Associates","3.3","MA","Boston","Construction","Construction, Repair & Maintenance",52,58,55,132.6,"Massachusetts"
726,938,"Senior Scientist - Regulatory Submissions","$80K-$155K (Glassdoor est.)","Winston-Salem","Reynolds American","3.1","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",80,155,117.5,91.2,"South"
727,939,"Scientist - Biomarker and Flow Cytometry","$43K-$98K (Glassdoor est.)","San Diego","Crown Bioscience","2.4","CA","San Diego","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",43,98,70.5,136.2,"California"
728,940,"Revenue Analytics Manager","$45K-$78K (Glassdoor est.)","San Francisco","HOVER","4.8","CA","San Francisco","Computer Hardware & Software","Information Technology",45,78,61.5,178.6,"California"
729,941,"Sr. Scientist Method Development","$50K-$110K (Glassdoor est.)","Marietta","Q2 Solutions","2.9","GA","Atlanta","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",50,110,80,100.3,"South"
730,942,"Associate Scientist, LC/MS Biologics","$44K-$96K (Glassdoor est.)","Ithaca","Q2 Solutions","2.9","NY","Ithaca","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",44,96,70,101.7,"New York"
731,943,"Research Scientist, Immunology - Cancer Biology","Employer Provided Salary:$100K-$140K","Cambridge","Kronos Bio",NA,"MA","Boston","-1","-1",100,140,120,132.6,"Massachusetts"
732,944,"IT - Data Engineer II","$61K-$119K (Glassdoor est.)","Quincy","Arbella Insurance","3.4","MA","Boston","Insurance Carriers","Insurance",61,119,90,132.6,"Massachusetts"
733,945,"Machine Learning Engineer (NLP)","$80K-$142K (Glassdoor est.)","Palo Alto","CK-12 Foundation","4.1","CA","San Francisco","K-12 Education","Education",80,142,111,178.6,"California"
734,946,"Senior Data Analyst","$99K-$178K (Glassdoor est.)","San Francisco","Life360","3.9","CA","San Francisco","Computer Hardware & Software","Information Technology",99,178,138.5,178.6,"California"
735,947,"Data Science Project Manager","$37K-$100K (Glassdoor est.)","Boston","MassMutual","3.6","MA","Boston","Insurance Carriers","Insurance",37,100,68.5,132.6,"Massachusetts"
736,948,"Data Engineer","$62K-$113K (Glassdoor est.)","San Francisco","Fivestars","3.9","CA","San Francisco","Internet","Information Technology",62,113,87.5,178.6,"California"
737,949,"Principal, Data Science - Advanced Analytics","$86K-$137K (Glassdoor est.)","Plymouth Meeting","IQVIA","3.6","PA","Philadelphia","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,137,111.5,103.4,"Northeast"
738,950,"Sr Scientist, Immuno-Oncology - Oncology","$58K-$111K (Glassdoor est.)","Cambridge","GSK","3.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",58,111,84.5,132.6,"Massachusetts"
739,951,"Senior Data Engineer","$72K-$133K (Glassdoor est.)","Nashville","Eventbrite","4.4","TN","Nashville","Internet","Information Technology",72,133,102.5,100.1,"South"
740,952,"Project Scientist - Auton Lab, Robotics Institute","$56K-$91K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",56,91,73.5,93.1,"Northeast"
741,953,"Data Science Manager","$95K-$160K (Glassdoor est.)","Allentown","Numeric, LLC","3.2","PA","Allentown","Staffing & Outsourcing","Business Services",95,160,127.5,98.9,"Northeast"
742,955,"Research Scientist – Security and Privacy","$61K-$126K (Glassdoor est.)","Beavercreek","Riverside Research Institute","3.6","OH","Dayton","Federal Agencies","Government",61,126,93.5,88.4,"Midwest"
