"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
178,209,"MED TECH/LAB SCIENTIST - LABORATORY","$21-$34 Per Hour(Glassdoor est.)","Lewes","Beebe Healthcare","3.6","DE","Dover","Health Care Services & Hospitals","Health Care",43,70,56.5,101.3,"South"
179,210,"Sr. Scientist, Quantitative Translational Sciences","$117K-$206K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",117,206,161.5,132.6,"Massachusetts"
180,211,"Sr. Data Scientist II","$111K-$183K (Glassdoor est.)","New York","Argo Group US","3.4","NY","New York","Insurance Carriers","Insurance",111,183,147,128,"New York"
181,212,"Excel / VBA / SQL Data Analyst","$44K-$78K (Glassdoor est.)","Springfield","Associated Electric Cooperative","4.1","MO","Springfield, MO","Energy","Oil, Gas, Energy & Utilities",44,78,61,86.7,"Midwest"
182,213,"Machine Learning Research Scientist","$81K-$159K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",81,159,120,93.1,"Northeast"
183,215,"VP, Data Science","$83K-$166K (Glassdoor est.)","Phoenix","PennyMac","3.2","AZ","Phoenix","Lending","Finance",83,166,124.5,104.3,"West"
184,216,"Senior Data Scientist","$114K-$182K (Glassdoor est.)","Burbank","Zest AI","3.9","CA","Los Angeles","Financial Analytics & Research","Finance",114,182,148,140.6,"California"
185,217,"Radar Data Analyst","$42K-$76K (Glassdoor est.)","Huntsville","DECISIVE ANALYTICS Corporation","4.7","AL","Huntsville, AL","Aerospace & Defense","Aerospace & Defense",42,76,59,91.3,"South"
186,221,"PL Actuarial-Lead Data Scientist","$114K-$179K (Glassdoor est.)","Worcester","The Hanover Insurance Group","3.7","MA","Worcester","Insurance Carriers","Insurance",114,179,146.5,113.2,"Massachusetts"
187,223,"PV Scientist","$60K-$123K (Glassdoor est.)","Newton","Karyopharm Therapeutics Inc.","2.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",60,123,91.5,132.6,"Massachusetts"
188,224,"Senior Data & Machine Learning Scientist","$100K-$166K (Glassdoor est.)","Chicago","Tempus Labs","3.0","IL","Chicago","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",100,166,133,100.1,"Midwest"
189,225,"Principal Data Scientist (Computational Chemistry)","$108K-$173K (Glassdoor est.)","Salt Lake City","Recursion Pharmaceuticals","4.7","UT","Salt Lake City","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",108,173,140.5,105.9,"West"
190,226,"Data Engineer","$48K-$93K (Glassdoor est.)","Lafayette","P2 Energy Solutions","3.7","LA","Lafayette, LA","Computer Hardware & Software","Information Technology",48,93,70.5,89.6,"South"
191,228,"Principal Scientist, Chemistry & Immunology","$54K-$115K (Glassdoor est.)","Rochester","Rochester Regional Health","3.3","NY","Rochester, NY","Health Care Services & Hospitals","Health Care",54,115,84.5,96.6,"New York"
192,229,"Software Engineer - Data Visualization","$60K-$127K (Glassdoor est.)","Annapolis Junction","ClearEdge","4.0","MD","Baltimore","Computer Hardware & Software","Information Technology",60,127,93.5,107,"South"
193,230,"Scientist/Senior Scientist, Autoimmune","$90K-$179K (Glassdoor est.)","Cambridge","Rubius Therapeutics","4.4","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",90,179,134.5,132.6,"Massachusetts"
194,233,"Staff Machine Learning Engineer","$138K-$224K (Glassdoor est.)","San Francisco","Tapjoy","3.9","CA","San Francisco","Internet","Information Technology",138,224,181,178.6,"California"
195,234,"Principal Scientist, Hematology","$54K-$115K (Glassdoor est.)","Rochester","Rochester Regional Health","3.3","NY","Rochester, NY","Health Care Services & Hospitals","Health Care",54,115,84.5,96.6,"New York"
196,235,"Lead Data Engineer","$190K-$220K(Employer est.)","Mountain View","Credit Sesame","4.1","CA","San Jose","Internet","Information Technology",190,220,205,173.5,"California"
197,239,"Marketing Data Analyst","$35K-$62K (Glassdoor est.)","Highland","San Manuel Casino","3.6","CA","Riverside","Gambling","Arts, Entertainment & Recreation",35,62,48.5,116.1,"California"
198,240,"Medical Laboratory Scientist","$18-$25 Per Hour(Glassdoor est.)","Burleson","Texas Health Huguley Hospital","4.0","TX","Dallas","Health Care Services & Hospitals","Health Care",37,52,44.5,98.5,"South"
199,242,"R&D Specialist/ Food Scientist","$39K-$66K (Glassdoor est.)","Hoopeston","Teasdale Latin Foods","2.4","IL","Danville, IL","Food & Beverage Manufacturing","Manufacturing",39,66,52.5,83.9,"Midwest"
200,243,"Senior Research Scientist-Machine Learning","$81K-$167K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",81,167,124,93.1,"Northeast"
201,245,"Analytics Manager - Data Mart","$42K-$86K (Glassdoor est.)","Scotts Valley","Central California Alliance for Health","3.5","CA","Santa Cruz","Health Care Services & Hospitals","Health Care",42,86,64,163.9,"California"
202,246,"Sr. Data Engineer - Contract-to-Hire (Java)","$69K-$127K (Glassdoor est.)","Knoxville","Pilot Flying J Travel Centers LLC","3.0","TN","Knoxville","Gas Stations","Retail",69,127,98,91.6,"South"
203,247,"MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB","$21-$34 Per Hour(Glassdoor est.)","Millville","Beebe Healthcare","3.6","DE","Salisbury","Health Care Services & Hospitals","Health Care",43,70,56.5,103.2,"South"
204,248,"Food Scientist - Developer","$40K-$68K (Glassdoor est.)","Milwaukee","Palermo's Pizza","3.3","WI","Milwaukee","Food & Beverage Manufacturing","Manufacturing",40,68,54,93.8,"Midwest"
205,250,"Staff Scientist-Downstream Process Development","$49K-$113K (Glassdoor est.)","Rockville","Advanced BioScience Laboratories","2.7","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,113,81,120.1,"South"
206,251,"Sr. Data Engineer","$75K-$140K (Glassdoor est.)","Chicago","Echo Global Logistics","3.4","IL","Chicago","Transportation Management","Transportation & Logistics",75,140,107.5,100.1,"Midwest"
207,253,"Data Scientist - Quantitative","$86K-$139K (Glassdoor est.)","Chicago","Truckstop.com","3.8","IL","Chicago","Logistics & Supply Chain","Transportation & Logistics",86,139,112.5,100.1,"Midwest"
208,254,"Data Scientist","$66K-$112K (Glassdoor est.)","Herndon","Lockheed Martin","3.7","VA","Washington","Aerospace & Defense","Aerospace & Defense",66,112,89,120.1,"South"
209,255,"Senior Research Statistician- Data Scientist","$76K-$125K (Glassdoor est.)","Sheboygan","Acuity Insurance","4.8","WI","Sheboygan","Insurance Carriers","Insurance",76,125,100.5,89.7,"Midwest"
210,256,"Business Data Analyst, SQL","$44K-$86K (Glassdoor est.)","New York","Fareportal","3.8","NY","New York","Travel Agencies","Travel & Tourism",44,86,65,128,"New York"
211,257,"Medical Technologist / Clinical Laboratory Scientist","$15-$25 Per Hour(Glassdoor est.)","New Orleans","Veterans Affairs, Veterans Health Administration","3.4","LA","New Orleans","Federal Agencies","Government",31,52,41.5,92.4,"South"
212,258,"Data Scientist","$53K-$92K (Glassdoor est.)","Dallas","Credera","4.3","TX","Dallas","Consulting","Business Services",53,92,72.5,98.5,"South"
213,259,"Senior Data Analyst","$44K-$78K (Glassdoor est.)","Clearwater","KnowBe4","4.8","FL","Tampa","Security Services","Business Services",44,78,61,101.4,"South"
214,260,"BI & Platform Analytics Manager","$85K-$134K (Glassdoor est.)","Ewing","Church & Dwight","3.4","NJ","Trenton","Consumer Products Manufacturing","Manufacturing",85,134,109.5,104.3,"Northeast"
215,262,"Data Engineer","$59K-$110K (Glassdoor est.)","Cambridge","Cogo Labs","3.9","MA","Boston","Internet","Information Technology",59,110,84.5,132.6,"Massachusetts"
216,263,"Data Scientist","$64K-$111K (Glassdoor est.)","Chicago","Spectrum Communications and Consulting","3.4","IL","Chicago","Advertising & Marketing","Business Services",64,111,87.5,100.1,"Midwest"
217,264,"Data Analyst","$65K-$120K (Glassdoor est.)","San Mateo","NCSOFT","3.1","CA","San Francisco","Video Games","Media",65,120,92.5,178.6,"California"
218,265,"Associate Data Scientist/Computer Scientist","$60K-$103K (Glassdoor est.)","McLean","MITRE","3.2","VA","Washington","Federal Agencies","Government",60,103,81.5,120.1,"South"
219,266,"Business Intelligence Analyst / Developer","$53K-$105K (Glassdoor est.)","Dayton","Dayton Freight Lines, Inc.","4.3","OH","Dayton","Trucking","Transportation & Logistics",53,105,79,88.4,"Midwest"
220,267,"Lead Data Scientist","$124K-$204K (Glassdoor est.)","Boston","MassMutual","3.6","MA","Boston","Insurance Carriers","Insurance",124,204,164,132.6,"Massachusetts"
221,268,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","$131K-$207K (Glassdoor est.)","South San Francisco","Genentech","3.9","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",131,207,169,178.6,"California"
222,269,"Senior Data Scientist","$110K-$174K (Glassdoor est.)","Cupertino","Juniper Networks","3.8","CA","San Jose","Telecommunications Services","Telecommunications",110,174,142,173.5,"California"
223,270,"Data Analyst","$33K-$62K (Glassdoor est.)","Parlier","Community Action Partnership of San Luis Obispo","2.8","CA","Fresno","Social Assistance","Non-Profit",33,62,47.5,105.9,"California"
224,273,"Pricipal Scientist Molecular and cellular biologist","$52K-$101K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",52,101,76.5,132.6,"Massachusetts"
225,274,"Data Analyst","$48K-$90K (Glassdoor est.)","San Francisco","TrueAccord","3.4","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",48,90,69,178.6,"California"
226,275,"Data Analyst","$34K-$64K (Glassdoor est.)","Meridian","DRB Systems","4.0","ID","Boise City","Computer Hardware & Software","Information Technology",34,64,49,100.3,"West"
227,276,"Staff Data Scientist","$132K-$211K (Glassdoor est.)","San Jose","Western Digital","3.5","CA","San Jose","Computer Hardware & Software","Information Technology",132,211,171.5,173.5,"California"
228,277,"Data Scientist (Actuary, FSA or ASA)","$81K-$133K (Glassdoor est.)","Frederick","Legal & General America","3.8","MD","Hagerstown","Insurance Carriers","Insurance",81,133,107,99.7,"South"
229,278,"System and Data Analyst","$42K-$76K (Glassdoor est.)","Cherry Hill","Corcentric","3.7","NJ","Philadelphia","Enterprise Software & Network Solutions","Information Technology",42,76,59,103.4,"Northeast"
230,281,"Data Scientist","$66K-$111K (Glassdoor est.)","Indianapolis","U.Group","3.5","IN","Indianapolis","IT Services","Information Technology",66,111,88.5,90.2,"Midwest"
231,282,"Data Engineer 5 - Contract (Remote)","$74K-$140K (Glassdoor est.)","Riverton","The Church of Jesus Christ of Latter-day Saints","4.2","UT","Salt Lake City","Religious Organizations","Non-Profit",74,140,107,105.9,"West"
232,284,"Digital Health Data Scientist","$63K-$110K (Glassdoor est.)","Cambridge","Pfizer","4.0","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,110,86.5,132.6,"Massachusetts"
233,285,"Data Scientist","$63K-$105K (Glassdoor est.)","Louisville","SMC 3","4.3","KY","Louisville","Logistics & Supply Chain","Transportation & Logistics",63,105,84,91.6,"South"
234,288,"Data & Analytics Consultant (NYC)","$91K-$138K (Glassdoor est.)","New York","Systems Evolution Inc.","4.7","NY","New York","Consulting","Business Services",91,138,114.5,128,"New York"
235,289,"Senior Scientist - Neuroscience","$100K-$190K (Glassdoor est.)","Marlborough","Sunovion","3.5","MA","Worcester","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",100,190,145,113.2,"Massachusetts"
236,290,"Data Engineer","$62K-$114K (Glassdoor est.)","Nashville","Eventbrite","4.4","TN","Nashville","Internet","Information Technology",62,114,88,100.1,"South"
237,291,"Big Data Engineer - Chicago - Future Opportunity","$71K-$129K (Glassdoor est.)","Chicago","Centro","4.1","IL","Chicago","Internet","Information Technology",71,129,100,100.1,"Midwest"
238,292,"Senior Data Analyst","$43K-$80K (Glassdoor est.)","Herndon","National Student Clearinghouse","2.9","VA","Washington","Colleges & Universities","Education",43,80,61.5,120.1,"South"
239,293,"Data Scientist","$74K-$119K (Glassdoor est.)","Portland","comScore","2.5","OR","Portland, OR","Advertising & Marketing","Business Services",74,119,96.5,116.5,"West"
240,295,"Survey Data Analyst","$55K-$97K (Glassdoor est.)","Minneapolis","SullivanCotter","4.2","MN","Minneapolis","Consulting","Business Services",55,97,76,105.4,"Midwest"
241,296,"Data Scientist","$15K-$16K(Employer est.)","Port Washington","NPD","3.9","NY","New York","Research & Development","Business Services",15,16,15.5,128,"New York"
242,299,"Data Scientist","$61K-$106K (Glassdoor est.)","Austin","Bakery Agency","4.3","TX","Austin","Advertising & Marketing","Business Services",61,106,83.5,106.6,"South"
243,300,"Risk and Analytics IT, Data Scientist","$91K-$149K (Glassdoor est.)","Madison","State of Wisconsin Investment Board","2.7","WI","Madison","Investment Banking & Asset Management","Finance",91,149,120,99.5,"Midwest"
244,302,"Data Scientist","$127K-$199K (Glassdoor est.)","South San Francisco","Genentech","3.9","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",127,199,163,178.6,"California"
245,305,"Lead Health Data Analyst - Front End","$74K-$126K (Glassdoor est.)","Providence","Blue Cross & Blue Shield of Rhode Island","3.4","RI","Providence","Insurance Carriers","Insurance",74,126,100,111.5,"Northeast"
246,306,"Research Scientist","$33K-$72K (Glassdoor est.)","Omaha","Boys Town","3.8","NE","Omaha","Social Assistance","Non-Profit",33,72,52.5,92.9,"Midwest"
247,307,"Medical Lab Scientist","$17-$24 Per Hour(Glassdoor est.)","West Reading","Tower Health","3.6","PA","Reading","Health Care Services & Hospitals","Health Care",35,49,42,96,"Northeast"
248,308,"Junior Data Analyst","$37K-$63K (Glassdoor est.)","Washington","The HSC Health Care System","3.3","DC","Washington","Health Care Services & Hospitals","Health Care",37,63,50,120.1,"South"
249,309,"SQL Data Engineer","$67K-$119K (Glassdoor est.)","Austin","Pro-Sphere Tek","3.4","TX","Austin","Consulting","Business Services",67,119,93,106.6,"South"
250,310,"Data Scientist","$72K-$117K (Glassdoor est.)","Cincinnati","Ameritas Life Insurance Corp","3.0","OH","Cincinnati","Insurance Agencies & Brokerages","Insurance",72,117,94.5,92.4,"Midwest"
251,311,"Senior Data Scientist","$116K-$185K (Glassdoor est.)","San Francisco","Autodesk","4.0","CA","San Francisco","Computer Hardware & Software","Information Technology",116,185,150.5,178.6,"California"
252,312,"Data Scientist","$78K-$126K (Glassdoor est.)","Raleigh","Genworth","3.7","NC","Raleigh","Insurance Carriers","Insurance",78,126,102,99.7,"South"
253,313,"Scientist, Analytical Development","$42K-$82K (Glassdoor est.)","Cambridge","Rubius Therapeutics","4.4","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",42,82,62,132.6,"Massachusetts"
254,314,"Analytics Manager","$59K-$116K (Glassdoor est.)","Dearborn","OneMagnify","4.3","MI","Detroit","Advertising & Marketing","Business Services",59,116,87.5,93.2,"Midwest"
255,316,"Clinical Data Scientist","$63K-$105K (Glassdoor est.)","Groton","Pfizer","4.0","CT","New London","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,105,84,105.9,"Northeast"
256,317,"Data Scientist","$109K-$177K (Glassdoor est.)","Herndon","Novetta","4.0","VA","Washington","Enterprise Software & Network Solutions","Information Technology",109,177,143,120.1,"South"
257,318,"Sr. Data Scientist, Cyber-Security LT Contract","$116K-$194K (Glassdoor est.)","Phila","Numeric, LLC","3.2","PA","Philadelphia","Staffing & Outsourcing","Business Services",116,194,155,103.4,"Northeast"
258,319,"Data Engineer","$48K-$95K (Glassdoor est.)","Winter Park","IZEA","4.2","FL","Orlando","Advertising & Marketing","Business Services",48,95,71.5,101.4,"South"
259,320,"Data Scientist","$83K-$133K (Glassdoor est.)","Oakland","Trace Data","3.9","CA","San Francisco","Insurance Carriers","Insurance",83,133,108,178.6,"California"
260,322,"Sr. Scientist - Digital & Image Analysis/Computational Pathology","$105K-$198K (Glassdoor est.)","San Diego","Takeda Pharmaceuticals","3.7","CA","San Diego","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",105,198,151.5,136.2,"California"
261,323,"Digital Marketing & ECommerce Data Analyst","$31K-$72K (Glassdoor est.)","San Rafael","Vionic Group","3.6","CA","San Francisco","Department, Clothing, & Shoe Stores","Retail",31,72,51.5,178.6,"California"
262,324,"Principal Scientist - Immunologist","$98K-$182K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",98,182,140,132.6,"Massachusetts"
263,325,"Senior Data Analyst","$55K-$100K (Glassdoor est.)","Hamilton","Dodge Data & Analytics","2.8","NJ","Trenton","IT Services","Information Technology",55,100,77.5,104.3,"Northeast"
264,326,"Insurance Financial Data Analyst","$45K-$82K (Glassdoor est.)","Boise","Clearwater Analytics","4.2","ID","Boise City","Investment Banking & Asset Management","Finance",45,82,63.5,100.3,"West"
265,328,"Data Scientist","$83K-$135K (Glassdoor est.)","San Francisco","Tekvalley, Corp.","4.0","CA","San Francisco","IT Services","Information Technology",83,135,109,178.6,"California"
266,330,"Data Scientist","$70K-$122K (Glassdoor est.)","Oak Ridge","BWX Technologies","3.5","TN","Knoxville","Aerospace & Defense","Aerospace & Defense",70,122,96,91.6,"South"
267,331,"Principal Data Scientist with over 10 years experience","Employer Provided Salary:$200K-$250K","San Francisco","CA-One Tech Cloud",NA,"CA","San Francisco","IT Services","Information Technology",200,250,225,178.6,"California"
268,332,"Data Engineer","$70K-$132K (Glassdoor est.)","Agoura Hills","PennyMac","3.2","CA","Los Angeles","Lending","Finance",70,132,101,140.6,"California"
269,333,"Senior Data Scientist","$73K-$124K (Glassdoor est.)","Woodbridge","Plymouth Rock Assurance","3.3","NJ","New York","Insurance Carriers","Insurance",73,124,98.5,128,"Northeast"
270,334,"Data Engineer I - Azure","$54K-$101K (Glassdoor est.)","Pella","Vermeer","3.9","IA","Des Moines","Industrial Manufacturing","Manufacturing",54,101,77.5,91.7,"Midwest"
271,335,"Sr. Scientist, Quantitative Translational Sciences","$117K-$206K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",117,206,161.5,132.6,"Massachusetts"
272,337,"MED TECH/LAB SCIENTIST - LABORATORY","$21-$34 Per Hour(Glassdoor est.)","Lewes","Beebe Healthcare","3.6","DE","Dover","Health Care Services & Hospitals","Health Care",43,70,56.5,101.3,"South"
273,339,"Sr. Data Scientist II","$111K-$183K (Glassdoor est.)","New York","Argo Group US","3.4","NY","New York","Insurance Carriers","Insurance",111,183,147,128,"New York"
274,341,"Data Scientist","$68K-$112K (Glassdoor est.)","San Ramon","L&T Infotech","3.5","CA","San Jose","IT Services","Information Technology",68,112,90,173.5,"California"
275,342,"Information Security Data Analyst","$42K-$74K (Glassdoor est.)","Red Bank","OceanFirst Financial","4.3","NJ","New York","Banks & Credit Unions","Finance",42,74,58,128,"Northeast"
276,344,"Excel / VBA / SQL Data Analyst","$44K-$78K (Glassdoor est.)","Springfield","Associated Electric Cooperative","4.1","MO","Springfield, MO","Energy","Oil, Gas, Energy & Utilities",44,78,61,86.7,"Midwest"
277,346,"Machine Learning Research Scientist","$81K-$159K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",81,159,120,93.1,"Northeast"
278,347,"Data Scientist","$95K-$161K (Glassdoor est.)","New York","Sotheby's","3.6","NY","New York","Auctions & Galleries","Retail",95,161,128,128,"New York"
279,348,"Data Scientist","$75K-$124K (Glassdoor est.)","Hillsboro","First Tech Federal Credit Union","3.5","OR","Portland, OR","Banks & Credit Unions","Finance",75,124,99.5,116.5,"West"
280,349,"Data Scientist","$72K-$120K (Glassdoor est.)","Detroit","Amrock","3.6","MI","Detroit","Real Estate","Real Estate",72,120,96,93.2,"Midwest"
281,350,"Data Scientist","$76K-$126K (Glassdoor est.)","Washington","Vanda Pharmaceuticals","2.3","DC","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",76,126,101,120.1,"South"
282,351,"Senior Data Scientist","$114K-$182K (Glassdoor est.)","Burbank","Zest AI","3.9","CA","Los Angeles","Financial Analytics & Research","Finance",114,182,148,140.6,"California"
283,352,"Data Scientist, Senior","$108K-$176K (Glassdoor est.)","Fort Belvoir","Novetta","4.0","VA","Washington","Enterprise Software & Network Solutions","Information Technology",108,176,142,120.1,"South"
284,353,"Senior Data Scientist","$130K-$208K (Glassdoor est.)","Palo Alto","CK-12 Foundation","4.1","CA","San Francisco","K-12 Education","Education",130,208,169,178.6,"California"
285,354,"VP, Data Science","$83K-$166K (Glassdoor est.)","Phoenix","PennyMac","3.2","AZ","Phoenix","Lending","Finance",83,166,124.5,104.3,"West"
286,355,"Radar Data Analyst","$42K-$76K (Glassdoor est.)","Huntsville","DECISIVE ANALYTICS Corporation","4.7","AL","Huntsville, AL","Aerospace & Defense","Aerospace & Defense",42,76,59,91.3,"South"
287,356,"CONSULTANT– DATA ANALYTICS GROUP","$37K-$68K (Glassdoor est.)","San Diego","Opinion Dynamics","4.2","CA","San Diego","Consulting","Business Services",37,68,52.5,136.2,"California"
288,357,"Data Engineer","$52K-$99K (Glassdoor est.)","Houston","Applied Information Sciences","4.6","TX","Houston","IT Services","Information Technology",52,99,75.5,95.8,"South"
289,358,"Senior Data Scientist","$105K-$173K (Glassdoor est.)","Armonk","Swiss Re","3.7","NY","Kingston","Insurance Agencies & Brokerages","Insurance",105,173,139,106.1,"New York"
290,362,"Data Engineer, Data Engineering and Artifical Intelligence","$71K-$134K (Glassdoor est.)","Cambridge","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",71,134,102.5,132.6,"Massachusetts"
291,364,"Staff Scientist","$39K-$82K (Glassdoor est.)","Columbia","WK Dickson","4.4","SC","Columbia, SC","Architectural & Engineering Services","Business Services",39,82,60.5,91.9,"South"
292,366,"PL Actuarial-Lead Data Scientist","$114K-$179K (Glassdoor est.)","Worcester","The Hanover Insurance Group","3.7","MA","Worcester","Insurance Carriers","Insurance",114,179,146.5,113.2,"Massachusetts"
293,367,"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry","$88K-$162K (Glassdoor est.)","South San Francisco","Genentech","3.9","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",88,162,125,178.6,"California"
294,368,"Sr. Data Analyst","$60K-$102K (Glassdoor est.)","Springfield","MassMutual","3.6","MA","Springfield, MA","Insurance Carriers","Insurance",60,102,81,106.5,"Massachusetts"
295,369,"Senior Data & Machine Learning Scientist","$100K-$166K (Glassdoor est.)","Chicago","Tempus Labs","3.0","IL","Chicago","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",100,166,133,100.1,"Midwest"
296,370,"Program/Data Analyst","$55K-$99K (Glassdoor est.)","Washington","General Dynamics Information Technology","3.4","DC","Washington","IT Services","Information Technology",55,99,77,120.1,"South"
297,371,"Data Engineer","$67K-$117K (Glassdoor est.)","Herndon","ManTech","4.1","VA","Washington","Research & Development","Business Services",67,117,92,120.1,"South"
298,372,"Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab","$92K-$150K (Glassdoor est.)","Cambridge","Novartis","3.8","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",92,150,121,132.6,"Massachusetts"
299,375,"Principal Data Engineer, Data Platform & Insights","$116K-$209K (Glassdoor est.)","San Francisco","Autodesk","4.0","CA","San Francisco","Computer Hardware & Software","Information Technology",116,209,162.5,178.6,"California"
300,376,"RESEARCH SCIENTIST - BIOLOGICAL SAFETY","$38K-$82K (Glassdoor est.)","San Antonio","Southwest Research Institute","3.9","TX","San Antonio","Research & Development","Business Services",38,82,60,92.7,"South"
301,377,"Data Operations Lead","Employer Provided Salary:$85K-$90K","San Francisco","Muso",NA,"CA","San Francisco","-1","-1",85,90,87.5,178.6,"California"
302,379,"Big Data Engineer","$62K-$119K (Glassdoor est.)","Indianapolis","SpringML","4.4","IN","Indianapolis","Enterprise Software & Network Solutions","Information Technology",62,119,90.5,90.2,"Midwest"
303,380,"Data Scientist / Machine Learning Expert","$86K-$143K (Glassdoor est.)","Cambridge","Novartis","3.8","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,143,114.5,132.6,"Massachusetts"
304,381,"Data Scientist","$93K-$149K (Glassdoor est.)","Sunnyvale","Juniper Networks","3.8","CA","San Jose","Telecommunications Services","Telecommunications",93,149,121,173.5,"California"
305,382,"Senior Data Scientist","$84K-$136K (Glassdoor est.)","Dallas","The Integer Group","2.2","TX","Dallas","Advertising & Marketing","Business Services",84,136,110,98.5,"South"
306,383,"PV Scientist","$60K-$123K (Glassdoor est.)","Newton","Karyopharm Therapeutics Inc.","2.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",60,123,91.5,132.6,"Massachusetts"
307,384,"Clinical Data Analyst","$52K-$89K (Glassdoor est.)","Portsmouth","ManTech","4.1","VA","Virginia Beach","Research & Development","Business Services",52,89,70.5,99,"South"
308,386,"Data Engineer","$48K-$93K (Glassdoor est.)","Lafayette","P2 Energy Solutions","3.7","LA","Lafayette, LA","Computer Hardware & Software","Information Technology",48,93,70.5,89.6,"South"
309,387,"Computational Chemist/Data Scientist","$56K-$97K (Glassdoor est.)","Richland","PNNL","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",56,97,76.5,99.7,"West"
310,388,"Data Engineer","$65K-$119K (Glassdoor est.)","Springfield","MassMutual","3.6","MA","Springfield, MA","Insurance Carriers","Insurance",65,119,92,106.5,"Massachusetts"
311,390,"Principal Data Scientist (Computational Chemistry)","$108K-$173K (Glassdoor est.)","Salt Lake City","Recursion Pharmaceuticals","4.7","UT","Salt Lake City","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",108,173,140.5,105.9,"West"
312,391,"Product Engineer – Data Science","$63K-$101K (Glassdoor est.)","Arlington","Esri","3.5","VA","Washington","Computer Hardware & Software","Information Technology",63,101,82,120.1,"South"
313,392,"Principal Scientist, Chemistry & Immunology","$54K-$115K (Glassdoor est.)","Rochester","Rochester Regional Health","3.3","NY","Rochester, NY","Health Care Services & Hospitals","Health Care",54,115,84.5,96.6,"New York"
314,394,"Scientist/Senior Scientist, Autoimmune","$90K-$179K (Glassdoor est.)","Cambridge","Rubius Therapeutics","4.4","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",90,179,134.5,132.6,"Massachusetts"
315,396,"Data Scientist","$127K-$202K (Glassdoor est.)","San Francisco","Samba TV","3.3","CA","San Francisco","Advertising & Marketing","Business Services",127,202,164.5,178.6,"California"
316,397,"Market Data Analyst","$31K-$57K (Glassdoor est.)","West Palm Beach","SV Microwave","3.4","FL","Port St. Lucie","Telecommunications Manufacturing","Telecommunications",31,57,44,101.1,"South"
317,398,"Software Engineer - Data Visualization","$60K-$127K (Glassdoor est.)","Annapolis Junction","ClearEdge","4.0","MD","Baltimore","Computer Hardware & Software","Information Technology",60,127,93.5,107,"South"
318,399,"Data Engineer","$75K-$143K (Glassdoor est.)","Herndon","SpringML","4.4","VA","Washington","Enterprise Software & Network Solutions","Information Technology",75,143,109,120.1,"South"
319,400,"Staff Data Engineer","$105K-$194K (Glassdoor est.)","Austin","Sumo Logic","3.8","TX","Austin","Computer Hardware & Software","Information Technology",105,194,149.5,106.6,"South"
